Gunung_ID,Nama_Gunung,Ketinggian_MDPL,Lokasi_Kabupaten_Utama,Tingkat_Kesulitan_Pendakian,Cocok_Untuk_Pemula,Durasi_Pendakian_Hari_RataRata,Budget_Per_Orang_Rupiah_RataRata,Rating_Rata_Rata,Deskripsi_Lengkap_Gunung
1,Semeru,3676,Malang,Sulit,Tidak,3,100000,4.8,"Fitur utama objek wisata: situs bersejarah kuno, kaldera raksasa, pusat informasi pendakian. Karakteristik jalur: melintasi padang edelweis yang luas, jalur curam di beberapa titik. Fasilitas basecamp: toilet bersih, basecamp dasar dengan fasilitas memadai. Akses transportasi: membutuhkan ojek lokal dari desa terakhir. Pemandangan utama: hamparan savana yang luas. Musim terbaik kunjungan: musim semi. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 3676 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 700000 rupiah. Jumlah pos pendakian rata-rata: 7 pos. Rating rata-rata: 4.8."
2,Lawu,3265,Magetan,Sulit,Tidak,2,15000,4.5,"Fitur utama objek wisata: lautan pasir vulkanik. Karakteristik jalur: medan terbuka tanpa naungan, medan berbatu yang licin, jalur berlumpur saat musim hujan. Fasilitas basecamp: petugas siaga 24 jam, shelter untuk bermalam. Akses transportasi: akses sulit, perlu kendaraan off-road. Pemandangan utama: pemandangan pegunungan yang megah. Musim terbaik kunjungan: musim kemarau awal. Keberadaan sumber air: tidak. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 3265 mdpl. Durasi pendakian rata-rata: 4 hari. Budget per orang rata-rata: 1200000 rupiah. Jumlah pos pendakian rata-rata: 6 pos. Rating rata-rata: 4.5."
3,Bromo,2329,Malang,Mudah,Ya,1,100000,4.9,"Fitur utama objek wisata: desa adat yang kental, hamparan bunga edelweis, pusat informasi pendakian. Karakteristik jalur: tanjakan terjal sepanjang jalur, menawarkan banyak bonus pemandangan, tangga alami yang curam. Fasilitas basecamp: mushola, jasa porter. Akses transportasi: melalui jalur pedesaan yang sempit. Pemandangan utama: pemandangan danau yang tenang. Musim terbaik kunjungan: musim kemarau awal. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: sedang. Cocok untuk pemula: tidak. Ketinggian: 2329 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 350000 rupiah. Jumlah pos pendakian rata-rata: 2 pos. Rating rata-rata: 4.9."
4,Panderman,2045,Batu,Sedang,Ya,1,15000,3.8,Fitur utama objek wisata: air terjun tersembunyi. Karakteristik jalur: menawarkan banyak bonus pemandangan. Fasilitas basecamp: petugas siaga 24 jam. Akses transportasi: mudah dijangkau kendaraan umum. Pemandangan utama: pemandangan pegunungan yang megah. Musim terbaik kunjungan: kemarau. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: sedang. Cocok untuk pemula: tidak. Ketinggian: 2045 mdpl. Durasi pendakian rata-rata: 2 hari. Budget per orang rata-rata: 600000 rupiah. Jumlah pos pendakian rata-rata: 4 pos. Rating rata-rata: 3.8.
5,Kawi,2551,Malang,Sulit,Tidak,2,10000,4,"Fitur utama objek wisata: lautan pasir vulkanik, puncak kembar yang menantang, sumber air panas alami. Karakteristik jalur: hutan pinus yang sejuk, jalur landai yang nyaman. Fasilitas basecamp: toilet bersih, penyewaan alat camping. Akses transportasi: dekat jalan raya utama. Pemandangan utama: pemandangan pegunungan yang megah. Musim terbaik kunjungan: sepanjang tahun. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 2551 mdpl. Durasi pendakian rata-rata: 3 hari. Budget per orang rata-rata: 900000 rupiah. Jumlah pos pendakian rata-rata: 6 pos. Rating rata-rata: 4.0."
6,Ijen,2386,Banyuwangi,Mudah,Tidak,1,30000,4.7,"Fitur utama objek wisata: sumber air panas alami, pemandangan matahari terbit yang spektakuler. Karakteristik jalur: jalur landai yang nyaman. Fasilitas basecamp: penyewaan alat camping, toilet bersih. Akses transportasi: dekat jalan raya utama. Pemandangan utama: hutan hijau lebat. Musim terbaik kunjungan: hindari musim hujan. Keberadaan sumber air: tidak. Tingkat kesulitan pendakian: sedang. Cocok untuk pemula: tidak. Ketinggian: 2386 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 250000 rupiah. Jumlah pos pendakian rata-rata: 2 pos. Rating rata-rata: 4.7."
7,Kelud,1731,Blitar,Mudah,Tidak,1,15000,4.2,"Fitur utama objek wisata: lautan pasir vulkanik. Karakteristik jalur: melewati sungai kecil yang jernih, medan terbuka tanpa naungan, menawarkan banyak bonus pemandangan. Fasilitas basecamp: area camping yang nyaman, area parkir luas. Akses transportasi: membutuhkan kendaraan pribadi. Pemandangan utama: pemandangan kota dari ketinggian. Musim terbaik kunjungan: hindari musim hujan. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: sedang. Cocok untuk pemula: tidak. Ketinggian: 1731 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 250000 rupiah. Jumlah pos pendakian rata-rata: 3 pos. Rating rata-rata: 4.2."
8,Argopuro,3088,Bondowoso,Sulit,Tidak,4,37500,4.3,"Fitur utama objek wisata: kawah biru abadi, kawah aktif, air terjun tersembunyi. Karakteristik jalur: medan terbuka tanpa naungan. Fasilitas basecamp: pos pendakian lengkap. Akses transportasi: akses sulit, perlu kendaraan off-road. Pemandangan utama: hamparan savana yang luas. Musim terbaik kunjungan: hindari musim hujan. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 3088 mdpl. Durasi pendakian rata-rata: 4 hari. Budget per orang rata-rata: 900000 rupiah. Jumlah pos pendakian rata-rata: 7 pos. Rating rata-rata: 4.3."
9,Arjuno,3339,Malang,Sulit,Tidak,3,10000,4.4,"Fitur utama objek wisata: puncak ikonik, pemandangan matahari terbit yang spektakuler. Karakteristik jalur: trek berpasir vulkanik yang menantang, jalur aman dan terpelihara. Fasilitas basecamp: penginapan sederhana, jasa porter. Akses transportasi: membutuhkan ojek lokal dari desa terakhir. Pemandangan utama: pemandangan perkebunan yang hijau. Musim terbaik kunjungan: musim kemarau awal. Keberadaan sumber air: ada. Tingkat kesulitan pendakian: sulit. Cocok untuk pemula: tidak. Ketinggian: 3339 mdpl. Durasi pendakian rata-rata: 3 hari. Budget per orang rata-rata: 1500000 rupiah. Jumlah pos pendakian rata-rata: 7 pos. Rating rata-rata: 4.4."
10,Baluran,1247,Situbondo,Mudah,Ya,1,20000,3.5,"Fitur utama objek wisata: kaldera raksasa, lautan pasir vulkanik, flora dan fauna endemik. Karakteristik jalur: area padang rumput yang indah, trek berpasir vulkanik yang menantang, medan terbuka tanpa naungan. Fasilitas basecamp: jasa porter, pusat informasi pendakian. Akses transportasi: dekat jalan raya utama. Pemandangan utama: pemandangan danau yang tenang. Musim terbaik kunjungan: musim semi. Keberadaan sumber air: tergantung musim. Tingkat kesulitan pendakian: mudah. Cocok untuk pemula: ya. Ketinggian: 1247 mdpl. Durasi pendakian rata-rata: 1 hari. Budget per orang rata-rata: 100000 rupiah. Jumlah pos pendakian rata-rata: 1 pos. Rating rata-rata: 3.5."
