ID_Gunung,Nama_Gunung,Lokasi_Kabupaten,Ketinggian_MDPL,Tingkat_Kesulitan_Pendakian,Cocok_Untuk_Pemula,Durasi_Pendakian_Hari,Budget_Per_Orang_Rupiah,Jumlah_Pos_Pendakian,Keberadaan_Sumber_Air,Fitur_Utama_Objek_Wisata,Karakteristik_Jalur,Fasilitas_Basecamp,Akses_Transportasi,Pemandangan_Utama,Musim_Terbaik_Kunjungan,Rating_Rata_Rata
1,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,1,150000,3,Tidak,Air terjun alami,"Jalur panjang dan melelahkan, Melintasi jalur rel kereta api tua","Warung, Sumber air, Jasa porter",Mudah dijangkau kendaraan umum,Sunset view,Musim Kemarau Awal,2.8
2,Baluran,Situbondo,1247,Sangat Mudah,Tidak,1,200000,2,Tidak,"City lights, Candi kuno, Ranu Kumbolo","Jalur licin saat hujan, Melewati sungai kecil",Jasa porter,"Akses sulit, perlu off-road",Savana,Kemarau,3.4
3,Berungkal,Lumajang,1040,Sangat Mudah,Tidak,1,200000,0,Tidak,"Hutan hujan tropis, Jalur utama","Jalur curam di beberapa titik, Melewati sungai kecil, Medan berbatu",Pusat informasi,Mudah dijangkau kendaraan umum,Pemandangan perkebunan,Musim Kemarau Awal,2.7
4,Anjasmoro,Jombang; Mojokerto; Kediri; Malang; Batu,2282,Mudah,Ya,1,300000,1,Tidak,"Pasir vulkanik, Jalur populer, Ranu Kumbolo","Medan berbatu, Jalur berlumpur, Trek berbatu","Shelter, Petugas siaga, Area parkir","Akses sulit, perlu off-road",Hutan hijau lebat,Musim Kemarau Awal,3.4
5,Butak,Malang; Blitar,2868,Sedang,Ya,2,350000,3,Tergantung Musim,"Spot sunrise terbaik, Pemandangan kota dari ketinggian, Savana hijau","Jalur panjang dan melelahkan, Jalur licin saat hujan","Area camping, Toilet","Akses sulit, perlu off-road",Pemandangan danau,Hindari Musim Hujan,3.7
6,Ranti,Bondowoso; Banyuwangi,2601,Sedang,Tidak,2,350000,2,Tergantung Musim,"Banyak air terjun kecil, Matahari terbit, Hutan pinus","Medan berbatu, Melewati sungai kecil, Melintasi jalur rel kereta api tua",Pos pendakian lengkap,"Akses sulit, perlu off-road",Pemandangan kawah,Musim Semi,3.4
7,Ijen,Banyuwangi,2386,Mudah,Ya,1,250000,3,Tidak,Kawah aktif,"Tangga alami, Jalur landai, Melintasi jalur rel kereta api tua","Toilet, Basecamp dasar",Membutuhkan ojek lokal,Sunset view,Kemarau,4.9
8,Kawi,Malang,2551,Sedang,Ya,1,350000,4,Tergantung Musim,Peninggalan sejarah,Jalur licin saat hujan,Penginapan sederhana,Membutuhkan kendaraan pribadi,Pemandangan laut,Sepanjang Tahun,4.5
9,Baluran,Situbondo,1247,Mudah,Ya,1,150000,1,Tidak,"Jalur populer, Budaya lokal kental",Beberapa tanjakan curam,"Mushola, Sumber air, Pusat informasi",Membutuhkan ojek lokal,Pemandangan danau,Sepanjang Tahun,3.8
10,Panderman,Batu,2045,Sedang,Tidak,1,450000,3,Tergantung Musim,"Savana hijau, Spot sunrise terbaik",Medan berbatu,Jasa porter,Dekat jalan raya utama,Pemandangan pegunungan,Kemarau,3.9
11,Berungkal,Lumajang,1040,Sangat Mudah,Tidak,1,200000,2,Tidak,"Pemandangan sunrise, Pasir vulkanik","Tangga alami, Variasi medan dataran rendah","Shelter, Penginapan sederhana, Basecamp dasar",Jalur pedesaan yang sempit,Pemandangan pegunungan,Kemarau,3.3
