ID_Gunung,Nama_Gunung,Lokasi_Kabupaten,Ketinggian_MDPL,Tingkat_Kesulitan_Pendakian,Cocok_Untuk_Pemula,Durasi_Pendakian_Hari,Budget_Per_Orang_Rupiah,Jumlah_Pos_Pendakian,Keberadaan_Sumber_Air,Fitur_Utama_Objek_Wisata,Karakteristik_Jalur,Fasilitas_Basecamp,Akses_Transportasi,Pemandangan_Utama,Musim_Terbaik_Kunjungan,Rating_Rata_Rata
1,Ijen,Banyuwangi,2386,Sedang,Ya,2,600000,2,Tergantung Musim,Lautan pasir,"Melewati sungai kecil, Variasi medan dataran rendah",Pos pendakian lengkap,Jalur pedesaan yang sempit,Pemandangan perkebunan,Musim Kemarau Awal,4.5
2,Ranti,Bondowoso; Banyuwangi,2601,Sulit,Tidak,3,1200000,6,Tergantung Musim,"Desa adat, Puncak kembar","Medan berbatu, Tanjakan terjal, Jalur landai","Pusat informasi, Mushola, Shelter",Mudah dijangkau kendaraan umum,Pemandangan pegunungan,Sepanjang Tahun,3.0
3,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sulit,Tidak,4,600000,4,Tergantung Musim,"Puncak kembar, Adat istiadat unik",Tanjakan terjal,"Sumber air, Area camping, Mushola",Mudah dijangkau kendaraan umum,Savana,Sepanjang Tahun,4.3
4,Liman,Ponorogo; Nganjuk,2563,Sedang,Tidak,1,300000,3,Tergantung Musim,"Puncak ikonik, Pasir vulkanik","Jalur landai, Medan berbatu","Mushola, Warung, Basecamp dasar",Membutuhkan ojek lokal,Pemandangan perkebunan,Kemarau,3.8
5,Biser,Bondowoso; Situbondo,1359,Mudah,Ya,1,200000,0,Tidak,"Gurun pasir, Budaya lokal kental, Ranu Kumbolo","Jalur berlumpur, Beberapa tanjakan curam, Tanjakan terjal",Penyewaan alat camping,Membutuhkan ojek lokal,Pemandangan kota,Kemarau,2.4
6,Anjasmoro,Jombang; Mojokerto; Kediri; Malang; Batu,2282,Mudah,Ya,1,100000,1,Tidak,Savana hijau,Jalur aman dan terpelihara,"Shelter, Mushola, Sumber air",Dekat jalan raya utama,Pemandangan danau,Kemarau,4.2
7,Anjasmoro,Jombang; Mojokerto; Kediri; Malang; Batu,2282,Mudah,Ya,1,200000,1,Tidak,View matahari terbit,Tanjakan terjal,Jasa porter,Mudah dijangkau kendaraan umum,Savana,Hindari Musim Hujan,3.8
8,Berungkal,Lumajang,1040,Mudah,Ya,2,300000,1,Tidak,"Jalur menantang, Puncak tertinggi","Mendaki punggungan bukit, Jalur licin saat hujan, Banyak bonus pemandangan",Penginapan sederhana,Dekat jalan raya utama,Savana,Musim Kemarau Awal,3.1
9,Penanggungan,Mojokerto; Pasuruan,1653,Sedang,Tidak,1,450000,4,Tidak,"Artefak kuno, Hutan lebat, City lights",Melintasi jalur rel kereta api tua,Warung,Membutuhkan kendaraan pribadi,Sunset view,Sepanjang Tahun,4.4
10,Arjuno,Malang,3339,Sulit,Tidak,3,900000,5,Tergantung Musim,Ranu Kumbolo,"Jalur panjang dan melelahkan, Jalur licin saat hujan, Tangga alami","Shelter, Mushola",Membutuhkan kendaraan pribadi,Pemandangan danau,Sepanjang Tahun,4.1
11,Kelud,Kediri; Blitar; Malang,1731,Mudah,Ya,1,300000,0,Tidak,"Kawah belerang, Spot sunrise terbaik",Jalur landai,"Toilet, Basecamp dasar",Membutuhkan kendaraan pribadi,Sunset view,Hindari Musim Hujan,4.1
12,Blorobrubuh,Mojokerto,2282,Mudah,Ya,2,300000,0,Tidak,"Pemandangan kota dari ketinggian, Adat istiadat unik, Savana hijau",Hutan lebat dan lembab,"Area parkir, Mushola, Toilet","Akses sulit, perlu off-road",Sunset view,Musim Semi,3.6
13,Betiri,Jember; Banyuwangi,1233,Mudah,Ya,1,100000,1,Tidak,"Panorama kota, Danau kawah","Melewati sungai kecil, Jalur berpasir vulkanik",Area parkir,Membutuhkan ojek lokal,Pemandangan pegunungan,Kemarau,2.3
14,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,1,300000,2,Tidak,"Bukit savana, Candi kuno, Pasir vulkanik","Jalur licin saat hujan, Melintasi jalur rel kereta api tua",Area camping,Jalur pedesaan yang sempit,Pemandangan perkebunan,Kemarau,3.0
